@@,itemlabel,item,startdate,enddate
+++,Antoine Duquesne,Q586083,1999,2003
->,Patrick Dewael,Q15992,2003-07-12->2003,2008-12-22->2008
->,Guido De Padt,Q936465,2008-12-30->2008,2009-07-17->2009
->,Annemie Turtelboom,Q454893,2009-07-17->2009,2011-12-06->2011
->,JoÃ«lle Milquet,Q446756,2011-12-06->2011,2014-07-22->2014
->,"Melchior Wathelet, Jr.",Q212717,2014-07-22->2014,2014-10-11->2014
->,Jan Jambon,Q1865725,2014-10-11->2014,2018-12-09->2018
->,Pieter De Crem,Q1534851,2018-12-09->2018,2020-10-01->2020
->,Annelies Verlinden,Q99767918,2020-10-01->2020,
